requirement_id,requirement,prepare,detailed_design,uiux,api,error_handling,testable,status_before_fix,status_after_fix,g1_ids
FR-C01,監視ダッシュボード(状況を一目で見る画面),BIZ-04;BIZ-08,DD-C01,SCR-C01,operation-catalog (Repository),D01/D04/IR37/IR77/IR83/IR90/IR92,AT-C01-N;AT-C01-E;AT-C01-B,OK,OK,
FR-C02,場所の階層管理,BIZ-07,DD-C02,SCR-C02,operation-catalog (Repository),D01/D04/IR37/IR92,AT-C02-N;AT-C02-E;AT-C02-B,OK,OK,
FR-C03,遠隔操作(離れた場所からの操作),BIZ-13,DD-C03,SCR-C03,operation-catalog (Repository),D01/D04/IR37/IR102,AT-C03-N;AT-C03-E;AT-C03-B,CONFLICT,OK,G1-012
FR-C04,スケジュール運転・帰宅前冷房,BIZ-14,DD-C04,SCR-C04,operation-catalog (Repository),D01/D04/IR37/IR102,AT-C04-N;AT-C04-E;AT-C04-B,INCOMPLETE,OK,G1-010
FR-C05,同意付きの自動運転,BIZ-14;BIZ-15;BIZ-17,DD-C05,SCR-C04,operation-catalog (Repository),D01/D04/IR37/IR84/IR92/IR102,AT-C05-N;AT-C05-E;AT-C05-B,INCOMPLETE,OK,G1-022
FR-C06,電力・電気代の比較,BIZ-16;BIZ-23,DD-C06,SCR-C06,operation-catalog (Repository),D01/D04/IR37/IR80/IR90/IR92/IR97,AT-C06-N;AT-C06-E;AT-C06-B,INCOMPLETE,OK,G1-004
FR-C07,空気の状態(空気環境),BIZ-18;BIZ-19,DD-C07,SCR-C07,operation-catalog (Repository),D01/D04/IR37/IR92/IR97/IR98/IR99,AT-C07-N;AT-C07-E;AT-C07-B,INCOMPLETE,OK,G1-006;G1-007;G1-031
FR-C08,異常・点検の通知,BIZ-08;BIZ-09;BIZ-17,DD-C08,SCR-C08,operation-catalog (Repository),D01/D04/IR37/IR90/IR92/IR98/IR102,AT-C08-N;AT-C08-E;AT-C08-B,INCOMPLETE,OK,G1-014;G1-027
FR-C09,保守の依頼・予約・履歴,BIZ-12,DD-C09,SCR-C09,operation-catalog (Repository),D01/D04/IR37/IR89/IR90/IR92/IR95/IR102,AT-C09-N;AT-C09-E;AT-C09-B,CONFLICT,OK,G1-002;G1-012;G1-024
FR-C10,契約・請求の確認,BIZ-21,DD-C10,SCR-C10,operation-catalog (Repository),D01/D04/IR37/IR92,AT-C10-N;AT-C10-E;AT-C10-B,OK,OK,
FR-C11,支払い案内・決済のデモ,BIZ-22,DD-C11,SCR-C11,operation-catalog (Repository),D01/D04/IR37,AT-C11-N;AT-C11-E;AT-C11-B,OK,OK,
FR-C12,運転制限の説明,BIZ-21,DD-C12,SCR-C11,operation-catalog (Repository),D01/D04/IR37/IR92/IR96/IR97/IR102,AT-C12-N;AT-C12-E;AT-C12-B;AT-C12-R01,INCOMPLETE,OK,G1-003;G1-015;G1-019
FR-C13,排出量・オフセットへの案内,BIZ-23;BIZ-24;BIZ-25;BIZ-26,DD-C13,SCR-C13,operation-catalog (Repository),D01/D04/IR37/IR90/IR92/IR102,AT-C13-N;AT-C13-E;AT-C13-B,INCOMPLETE,OK,G1-024
FR-P01,受託の状況を見るダッシュボード,BIZ-04;BIZ-12,DD-P01,SCR-P01,operation-catalog (Repository),D01/D04/IR37/IR90/IR92/IR97,AT-P01-N;AT-P01-E;AT-P01-B,INCOMPLETE,OK,G1-019
FR-P02,案件の受諾・辞退,BIZ-12,DD-P02,SCR-P02,operation-catalog (Repository),D01/D04/IR37/IR86/IR92,AT-P02-N;AT-P02-E;AT-P02-B,OK,OK,
FR-P03,日程と自社技術者の割り当て,BIZ-12,DD-P03,SCR-P03,operation-catalog (Repository),D01/D04/IR37/IR89/IR92/IR94/IR95/IR97/IR102,AT-P03-N;AT-P03-E;AT-P03-B;AT-P03-R01,CONFLICT,OK,G1-002;G1-011;G1-017;G1-018;G1-026
FR-P04,対象設備と異常の根拠の閲覧,BIZ-12,DD-P04,SCR-P04,operation-catalog (Repository),D01/D04/IR37,AT-P04-N;AT-P04-E;AT-P04-B,OK,OK,
FR-P05,報告の品質確認・差し戻し,BIZ-12,DD-P05,SCR-P05,operation-catalog (Repository),D01/D04/IR37/IR87/IR92/IR93/IR100,AT-P05-N;AT-P05-E;AT-P05-B;AT-P05-R01,INCOMPLETE,OK,G1-021
FR-P06,自社の作業者・稼働状況の閲覧,BIZ-12,DD-P06,SCR-P06,operation-catalog (Repository),D01/D04/IR37/IR92/IR94,AT-P06-N;AT-P06-E;AT-P06-B,INCOMPLETE,OK,G1-030
FR-P07,案件の連絡・履歴,BIZ-12;BIZ-20,DD-P07,SCR-P07,operation-catalog (Repository),D01/D04/IR37/IR90,AT-P07-N;AT-P07-E;AT-P07-B;AT-P07-R01,OK,OK,
FR-P08,委託・作業期間の境界,BIZ-12,DD-P08,SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07,operation-catalog (Repository),D01/D04/IR37/IR86,AT-P08-N;AT-P08-E;AT-P08-B,OK,OK,
FR-T01,担当の状況を見るダッシュボード,BIZ-04;BIZ-08,DD-T01,SCR-T01,operation-catalog (Repository),D01/D04/IR37/IR76/IR90,AT-T01-N;AT-T01-E;AT-T01-B,OK,OK,
FR-T02,設備台帳(設備の情報の一覧),BIZ-06;BIZ-07;BIZ-10,DD-T02,SCR-T02,operation-catalog (Repository),D01/D04/IR37/IR92,AT-T02-N;AT-T02-E;AT-T02-B,OK,OK,
FR-T03,時系列監視(時間の流れで見る監視),BIZ-08;BIZ-11,DD-T03,SCR-T02,operation-catalog (Repository),D01/D04/IR37/IR77/IR83/IR97,AT-T03-N;AT-T03-E;AT-T03-B,INCOMPLETE,OK,G1-031
FR-T04,室内機の点検,BIZ-10,DD-T04,SCR-T04,operation-catalog (Repository),D01/D04/IR37/IR76/IR92/IR100,AT-T04-N;AT-T04-E;AT-T04-B,INCOMPLETE,OK,G1-008
FR-T05,室外機の点検,BIZ-10,DD-T05,SCR-T04,operation-catalog (Repository),D01/D04/IR37/IR100,AT-T05-N;AT-T05-E;AT-T05-B,INCOMPLETE,OK,G1-008
FR-T06,電気・制御部分の点検,BIZ-10,DD-T06,SCR-T04,operation-catalog (Repository),D01/D04/IR37/IR100,AT-T06-N;AT-T06-E;AT-T06-B,INCOMPLETE,OK,G1-008
FR-T07,異常の根拠,BIZ-08;BIZ-11;BIZ-17,DD-T07,SCR-T07,operation-catalog (Repository),D01/D04/IR37/IR87/IR94/IR98,AT-T07-N;AT-T07-E;AT-T07-B,INCOMPLETE,OK,G1-001;G1-027
FR-T08,定期点検・故障対応・予防保全,BIZ-12,DD-T08,SCR-T04,operation-catalog (Repository),D01/D04/IR37/IR76/IR89/IR93/IR97/IR100,AT-T08-N;AT-T08-E;AT-T08-B,CONFLICT,OK,G1-008;G1-011
FR-T09,作業報告,BIZ-12,DD-T09,SCR-T04,operation-catalog (Repository),D01/D04/IR37/IR89/IR97/IR100,AT-T09-N;AT-T09-E;AT-T09-B,CONFLICT,OK,G1-008;G1-011;G1-021
FR-T10,遠隔診断・試運転,BIZ-13,DD-T10,SCR-T10,operation-catalog (Repository),D01/D04/IR37/IR76/IR93/IR102,AT-T10-N;AT-T10-E;AT-T10-B;AT-T10-R01,INCOMPLETE,OK,G1-024
FR-T11,IoT機器のライフサイクル管理,BIZ-20,DD-T11,SCR-T11,operation-catalog (Repository),D01/D04/IR37/IR90/IR92/IR94/IR102,AT-T11-N;AT-T11-E;AT-T11-B;AT-T11-R01,INCOMPLETE,OK,G1-001;G1-024
FR-T12,IoT機器の異常,BIZ-20,DD-T12,SCR-T12,operation-catalog (Repository),D01/D04/IR37/IR92/IR94/IR102,AT-T12-N;AT-T12-E;AT-T12-B,CONFLICT,OK,G1-001;G1-012;G1-023
FR-A01,全体ダッシュボード,BIZ-04;BIZ-08,DD-A01,SCR-A01,operation-catalog (Repository),D01/D04/IR37/IR77/IR78/IR83/IR85/IR90,AT-A01-N;AT-A01-E;AT-A01-B,OK,OK,
FR-A02,組織・場所・設備台帳,BIZ-07,DD-A02,SCR-A02,operation-catalog (Repository),D01/D04/IR37/IR102,AT-A02-N;AT-A02-E;AT-A02-B,CONFLICT,OK,G1-012
FR-A03,4役割とスコープ管理,BIZ-04,DD-A03,SCR-A03,operation-catalog (Repository),D01/D04/IR37,AT-A03-N;AT-A03-E;AT-A03-B,OK,OK,
FR-A04,型番・IoT能力台帳,BIZ-06;BIZ-20,DD-A04,SCR-A04,operation-catalog (Repository),D01/D04/IR37/IR90,AT-A04-N;AT-A04-E;AT-A04-B,OK,OK,
FR-A05,アラート・通知方針,BIZ-08;BIZ-11;BIZ-17,DD-A05,SCR-A05,operation-catalog (Repository),D01/D04/IR37/IR92/IR97/IR98,AT-A05-N;AT-A05-E;AT-A05-B,INCOMPLETE,OK,G1-009;G1-027
